Air Force,31,10,21,0.323,-4.9,3.13,1,15,8,10.1,0,10.2,1773,1957,1240,632,1428,0.443,176,562,0.313,333,524,0.635,220,851,389,155,51,394,547,59.6,96,0.367,0.394,0.529,46.8,61.6,8.4,6.2,0.504,19,24.2,0.233,Unnamed: 13,59.6,106,0.4,0.44,0.558,53.2,59.8,9.7,10,0.527,17.2,30.4,0.273
Dartmouth,28,5,23,0.179,-18.46,-5.46,1,13,5,10,0,13,1513,1835,1120,574,1506,0.381,102,347,0.294,263,401,0.656,286,862,285,178,64,376,512,63.8,84.7,0.266,0.23,0.446,45.8,49.7,10,6.3,0.415,18.1,28.6,0.175,,63.8,102.7,0.381,0.298,0.535,54.2,52,9.9,8.8,0.496,18,34.7,0.273
Davidson,31,16,15,0.516,-2.26,-1.26,11,7,10,4,5,5,2240,2200,1260,759,1775,0.428,279,765,0.365,405,598,0.677,374,1148,474,141,112,421,603,66.9,106.3,0.337,0.431,0.544,52.5,62.5,6.7,9.6,0.506,17,33.2,0.228,,66.9,104.4,0.369,0.321,0.546,47.5,45.9,8.9,8.7,0.496,16,27.2,0.262
Dayton,37,25,12,0.676,13.25,5.61,8,8,16,2,6,7,2599,2305,1495,909,2050,0.443,256,744,0.344,525,789,0.665,437,1432,544,237,128,535,729,67.4,103.3,0.385,0.363,0.536,54,59.8,9.4,10.1,0.506,18.1,34.1,0.256,,67.4,91.6,0.409,0.358,0.487,46,53,9,9,0.448,18,27.3,0.269
Delaware State,29,17,12,0.586,-9.08,-7.6,11,5,12,3,4,8,1697,1691,1170,607,1485,0.409,145,444,0.327,338,499,0.677,328,809,300,239,71,332,440,59,98.4,0.336,0.299,0.493,47,49.4,13.9,7.8,0.458,16.2,34.6,0.228,,59,98,0.358,0.3,0.556,53,52.8,8.2,8.3,0.535,24.6,37.8,0.231
Delaware,31,7,24,0.226,-7.86,1.37,3,15,5,10,2,13,1965,2251,1270,685,1751,0.391,174,594,0.293,421,602,0.699,400,1078,361,156,73,411,649,64.6,95.8,0.344,0.339,0.482,49.4,52.7,7.6,6.6,0.441,16.8,34.5,0.24,,64.6,109.8,0.449,0.337,0.552,50.6,53.8,9.7,8.9,0.512,15.1,33.8,0.317
Denver,32,19,13,0.594,-2.76,-4.89,10,8,15,1,2,11,2079,2012,1280,689,1406,0.49,251,635,0.395,450,630,0.714,156,768,465,181,97,378,697,60.3,107.7,0.448,0.452,0.61,44.6,67.5,9.4,9.2,0.579,18.1,18.8,0.32,,60.3,104.2,0.597,0.248,0.559,55.4,39.8,8.7,10.9,0.507,18.5,31.3,0.421
DePaul,31,8,23,0.258,1.61,7.58,1,17,6,9,0,11,1891,2073,1260,704,1771,0.398,175,558,0.314,308,529,0.582,372,1036,366,236,97,338,570,63.1,95.2,0.299,0.315,0.468,46.2,52,11.9,8.4,0.447,14.3,31.5,0.174,,63.1,104.3,0.396,0.312,0.523,53.8,59.4,8.3,9,0.488,16.8,37.4,0.267
Detroit Mercy,34,20,14,0.588,1.35,-1.59,9,9,11,5,6,8,2360,2234,1370,829,1805,0.459,146,438,0.333,556,849,0.655,401,1225,464,255,133,530,631,68.4,100.7,0.47,0.243,0.534,52.9,56,10.9,10.9,0.5,19.4,35.5,0.308,,68.4,95.3,0.356,0.349,0.51,47.1,50.1,10.3,6,0.469,19.2,30.5,0.255
Drake,33,14,19,0.424,0.54,3.34,7,11,8,8,4,8,2197,2259,1325,738,1694,0.436,284,746,0.381,437,577,0.757,221,939,386,182,67,332,551,63.2,105,0.341,0.44,0.558,44.8,52.3,8.7,6.1,0.519,14.4,21.2,0.258,,63.2,107.9,0.317,0.381,0.555,55.2,55.7,7.9,9.2,0.529,16.7,32,0.219
Drexel,32,16,16,0.5,-0.03,0.19,11,7,10,4,6,11,2044,2051,1285,732,1802,0.406,153,490,0.312,427,650,0.657,407,1152,397,190,113,387,665,65.1,97.8,0.361,0.272,0.484,50,54.2,9.1,9,0.449,15.5,34.2,0.237,,65.1,98.1,0.462,0.251,0.502,50,51.3,9,12.3,0.45,16.8,33,0.324
Duke,40,35,5,0.875,25.21,9.21,13,3,17,0,5,5,3081,2441,1600,1049,2375,0.442,301,782,0.385,682,899,0.759,582,1560,555,266,162,440,722,66.5,115.8,0.379,0.329,0.55,54.4,52.9,10,9.8,0.505,13.6,40.9,0.287,,66.5,91.7,0.34,0.254,0.477,45.6,49,7.9,9.7,0.437,18.2,32.4,0.234
Duquesne,32,16,16,0.5,0.79,1.95,7,9,11,3,3,12,2251,2284,1325,819,1920,0.427,172,659,0.261,441,730,0.604,417,1195,441,259,138,457,602,69.6,97.7,0.38,0.343,0.497,47.5,53.8,11.2,11.1,0.471,16.8,32.8,0.23,,69.6,99.1,0.351,0.351,0.51,52.5,57.5,9.1,11.1,0.478,19,37.5,0.234
East Carolina,31,10,21,0.323,-5.91,4.42,4,12,5,9,4,8,2082,2323,1245,717,1641,0.437,168,515,0.326,480,685,0.701,348,1103,367,199,106,518,546,68.8,97.3,0.417,0.314,0.529,51.1,51.2,9.3,8.6,0.488,20.9,34,0.293,,68.8,108.6,0.352,0.336,0.537,48.9,59.2,13.1,10.7,0.503,14.3,33.5,0.248
East Tennessee State,35,20,15,0.571,-0.83,-1.47,13,7,9,5,9,9,2424,2362,1405,855,1978,0.432,177,575,0.308,537,815,0.659,445,1277,382,293,112,519,673,69.4,99.5,0.412,0.291,0.512,50.5,44.7,12,9.9,0.477,18,35,0.271,,69.4,97,0.394,0.408,0.519,49.5,57.8,10.6,9.3,0.486,20.4,33.8,0.261
Eastern Illinois,31,19,12,0.613,-5,-5,11,7,12,4,7,7,2112,2023,1260,780,1690,0.462,129,344,0.375,423,587,0.721,349,1084,465,192,104,420,519,64.5,103.9,0.347,0.204,0.536,52,59.6,9.4,10.1,0.5,17.6,35.2,0.25,,64.5,99.5,0.338,0.394,0.511,48,59.9,10.4,9.6,0.474,17.1,32.9,0.238
Eastern Kentucky,33,20,13,0.606,-2.07,-5.16,11,7,15,3,4,10,2351,2208,1320,846,1790,0.473,327,823,0.397,332,460,0.722,243,886,514,234,76,319,544,63,113.1,0.257,0.46,0.585,44.6,60.8,11.3,7,0.564,13.7,24.1,0.185,,63,106.2,0.335,0.353,0.564,55.4,61.7,7.6,10.1,0.536,18.7,34.3,0.236
Eastern Michigan,32,17,15,0.531,-3.46,-3.59,8,8,11,4,5,9,2124,2096,1290,713,1711,0.417,201,659,0.305,497,755,0.658,370,1126,399,216,92,435,569,66.3,99.3,0.441,0.385,0.513,51,56,10.1,7.9,0.475,17.4,32.8,0.29,,66.3,97.9,0.376,0.315,0.521,49,55.2,9.6,10.4,0.49,18.4,29.9,0.248
Eastern Washington,30,9,21,0.3,-11.91,-1.91,5,11,7,6,2,13,2065,2288,1210,723,1739,0.416,206,581,0.355,413,579,0.713,302,1021,408,186,74,452,626,71.5,95.5,0.333,0.334,0.513,48.5,56.4,8.6,6.4,0.475,18.3,27.3,0.237,,71.5,105.8,0.459,0.297,0.568,51.5,49.4,10.5,11.8,0.528,17.4,27.9,0.327
Elon,32,9,23,0.281,-10.4,-3.04,5,13,4,7,4,12,2141,2335,1290,760,1837,0.414,229,716,0.32,392,605,0.648,329,1060,401,192,64,422,599,68.9,96.4,0.329,0.39,0.504,46.2,52.8,8.6,5.1,0.476,16.6,27.8,0.213,,68.9,105.1,0.352,0.324,0.543,53.8,52.1,8.7,11.6,0.517,17.4,34.1,0.235
Evansville,30,9,21,0.3,-4.61,1.82,3,15,7,9,2,11,1944,2068,1215,668,1550,0.431,138,389,0.355,470,652,0.721,286,1001,423,153,50,431,642,66,96.9,0.421,0.251,0.523,50.6,63.3,7.6,5,0.475,18.8,29.2,0.303,,66,103.1,0.44,0.364,0.546,49.4,55.2,10.1,11.5,0.501,17.3,28.4,0.317
Fairfield,34,23,11,0.676,0.4,-3.33,13,5,12,2,9,9,2414,2287,1380,860,1996,0.431,207,618,0.335,487,699,0.697,455,1243,473,253,174,452,627,67,104.4,0.35,0.31,0.518,50.7,55,10.9,13.3,0.483,16.3,36.5,0.244,,67,98.9,0.343,0.313,0.517,49.3,48.4,9.7,9.1,0.483,18.6,34.6,0.237
Fairleigh Dickinson,32,11,21,0.344,-15.56,-6.42,10,8,7,7,4,12,2027,2279,1285,701,1678,0.418,144,447,0.322,481,743,0.647,319,1128,361,176,127,497,610,68.5,92.1,0.443,0.266,0.499,48.8,51.5,8,10.4,0.461,19.7,28.9,0.287,,68.5,103.6,0.365,0.347,0.519,51.2,59,10.2,8,0.491,15.1,32.9,0.237
Florida A&M,31,9,22,0.29,-18.8,-6.41,5,11,6,6,3,13,1965,2270,1245,683,1681,0.406,172,558,0.308,427,667,0.64,358,1042,312,178,82,485,591,68.2,92.6,0.397,0.332,0.492,46.8,45.7,8.4,6.7,0.457,19.5,31.9,0.254,,68.2,107,0.376,0.319,0.538,53.2,52.8,11,7.2,0.504,16.8,37.9,0.26
Florida Atlantic,30,14,16,0.467,-4.48,-3.3,10,8,9,4,5,10,2202,2205,1225,779,1824,0.427,220,577,0.381,424,626,0.677,367,1061,431,172,137,370,632,69.2,103.9,0.343,0.316,0.519,47.9,55.3,8.1,10.7,0.487,14.9,31.7,0.232,,69.2,104.1,0.45,0.241,0.539,52.1,49.6,7.4,10,0.504,17.5,34.4,0.301
Florida International,32,7,25,0.219,-12.81,-2.74,4,14,4,9,3,15,2176,2469,1290,782,1882,0.416,176,609,0.289,436,624,0.699,385,1053,395,254,60,435,623,69,97.8,0.332,0.324,0.499,46.9,50.5,11.4,5.3,0.462,16.6,31.6,0.232,,69,111,0.38,0.371,0.586,53.1,59,10.7,10.4,0.558,18.3,34.9,0.268
Florida State,32,22,10,0.688,14.64,6.79,10,6,13,3,6,5,2183,1932,1285,783,1734,0.452,186,557,0.334,431,669,0.644,406,1211,446,267,200,528,575,67.6,100.6,0.386,0.321,0.532,53.7,57,12.3,17.7,0.505,20.5,38.1,0.249,,67.6,89,0.348,0.353,0.473,46.3,47.3,11.7,6.6,0.435,20.1,32.4,0.234
Florida,34,21,13,0.618,11.89,7.16,9,7,13,4,5,5,2455,2258,1375,890,2006,0.444,203,648,0.313,472,671,0.703,455,1265,479,243,94,423,501,66.5,107.4,0.334,0.323,0.528,52,53.8,10.6,7.2,0.494,15.4,37,0.235,,66.5,98.8,0.277,0.329,0.511,48,52.2,9.9,9.9,0.484,17.4,32.8,0.188
Fordham,28,2,26,0.071,-13.18,2.08,0,16,2,10,0,15,1793,2220,1120,645,1698,0.38,134,482,0.278,369,544,0.678,359,1046,273,157,115,437,556,72.7,88.1,0.32,0.284,0.458,47.7,42.3,7.7,9.5,0.419,18.3,31.4,0.217,,72.7,109.1,0.395,0.298,0.541,52.3,55.1,11.6,9,0.505,14.3,34.5,0.274
Fresno State,33,15,18,0.455,0.14,1.31,7,9,12,6,3,11,2188,2207,1320,750,1763,0.425,215,675,0.319,473,698,0.678,343,1104,466,261,143,462,555,66.9,99.1,0.396,0.383,0.522,48.8,62.1,11.8,12.5,0.486,18.1,30.4,0.268,,66.9,100,0.341,0.367,0.525,51.2,58.5,9.9,10.1,0.494,18.2,32.8,0.231
Furman,30,13,17,0.433,-7.01,-4.83,7,11,8,6,4,9,2052,2059,1205,676,1620,0.417,195,554,0.352,505,706,0.715,325,1074,347,148,154,433,631,68.4,99.6,0.436,0.342,0.525,50.2,51.3,7.2,12.5,0.477,18.1,31.4,0.312,,68.4,100,0.419,0.273,0.506,49.8,52.5,9.7,8.9,0.47,15.6,32.2,0.273
Gardner-Webb,29,8,21,0.276,-20.32,-5.61,5,13,5,10,3,11,2005,2257,1175,739,1749,0.423,198,592,0.334,329,512,0.643,352,1044,414,201,73,525,588,73.5,92.9,0.293,0.338,0.503,47.9,56,9.3,6.1,0.479,20.9,31.7,0.188,,73.5,104.6,0.401,0.31,0.546,52.1,56.6,12.1,9.2,0.518,18.2,35.2,0.263
George Mason,32,17,15,0.531,-0.44,0.06,12,6,11,5,5,8,2145,2161,1290,759,1729,0.439,165,481,0.343,462,720,0.642,365,1111,379,210,128,438,557,66.3,100.4,0.416,0.278,0.518,49.2,49.9,9.8,10.2,0.487,17.5,32.8,0.267,,66.3,101.1,0.34,0.306,0.512,50.8,54.7,10.3,9.2,0.479,16.6,35,0.232
George Washington,31,16,15,0.516,3.12,0.96,6,10,8,7,7,8,2180,2113,1250,783,1800,0.435,154,467,0.33,460,705,0.652,431,1197,398,244,109,443,647,69,101.2,0.392,0.259,0.511,52.9,50.8,11.3,10.7,0.478,17.2,37.3,0.256,,69,98.1,0.428,0.395,0.519,47.1,61.3,9,10,0.483,18.8,30.8,0.283
Georgetown,34,23,11,0.676,17.03,9.56,10,8,12,4,6,5,2500,2246,1360,905,1815,0.499,212,548,0.387,478,672,0.711,333,1132,524,237,161,473,579,66.6,110.4,0.37,0.302,0.586,51.8,57.9,10.5,12.9,0.557,18.1,33.1,0.263,,66.6,99.2,0.334,0.342,0.513,48.2,56.7,10.9,10.4,0.474,16.9,32.2,0.24
Georgia Southern,32,9,23,0.281,-12.57,-1.67,6,12,8,6,1,16,2260,2529,1290,791,1849,0.428,231,611,0.378,447,665,0.672,368,985,444,259,106,512,693,71.7,97.7,0.36,0.33,0.522,45.2,56.1,11.2,8.5,0.49,19.1,31.4,0.242,,71.7,109.3,0.449,0.295,0.592,54.8,53.6,8.6,8.7,0.571,21.1,38.9,0.293
Georgia State,32,12,20,0.375,-3.74,-1.48,5,13,9,5,1,12,1993,2039,1295,740,1770,0.418,135,428,0.315,378,551,0.686,423,1082,356,231,106,432,599,63,97.8,0.311,0.242,0.49,50.3,48.1,11.3,9.7,0.456,17.5,37.9,0.214,,63,100,0.418,0.328,0.522,49.7,57.7,11.2,8.2,0.478,19,36.3,0.296
Georgia Tech,36,23,13,0.639,14.11,9.02,7,9,14,2,3,8,2621,2365,1445,948,2064,0.459,213,587,0.363,512,779,0.657,477,1430,508,288,190,591,670,70.5,103,0.377,0.284,0.538,53.2,53.6,11.3,13.9,0.511,19.5,38,0.248,,70.5,92.9,0.345,0.358,0.477,46.8,57.7,11.2,7.7,0.441,18.1,33.6,0.23
Georgia,31,14,17,0.452,7.33,8.04,5,11,12,4,0,12,2128,2150,1245,759,1664,0.456,150,410,0.366,460,641,0.718,385,1117,425,187,145,471,503,66.2,103.2,0.385,0.246,0.541,53.3,56,9.1,11.9,0.501,19.3,38.2,0.276,,66.2,104.3,0.323,0.319,0.523,46.7,46.2,12.4,11.2,0.484,15.2,32.7,0.238
Gonzaga,34,27,7,0.794,12.11,3.83,12,2,14,1,6,3,2614,2291,1375,912,1856,0.491,182,516,0.353,608,916,0.664,358,1286,456,227,142,444,614,69.4,109.6,0.494,0.278,0.57,53.1,50,9.5,10.5,0.54,16.2,32.1,0.328,,69.4,96.1,0.337,0.327,0.492,46.9,50.9,9.4,7.3,0.462,16,28.9,0.219
Grambling,28,7,21,0.25,-23.05,-12.75,4,14,4,7,2,13,1784,2048,1135,613,1551,0.395,166,479,0.347,392,570,0.688,298,930,315,210,73,438,624,69.7,90.2,0.368,0.309,0.49,45.9,51.4,10.6,6.7,0.449,19.4,28.7,0.253,,69.7,103.5,0.549,0.279,0.536,54.1,53.8,12.1,9.7,0.499,18.8,36.2,0.354
Green Bay,35,22,13,0.629,0.33,0.75,11,7,11,4,9,7,2397,2341,1420,832,1905,0.437,234,622,0.376,499,680,0.734,390,1142,410,213,89,434,649,64.1,105.3,0.357,0.327,0.538,49.2,49.3,9.4,6.9,0.498,16.3,33.5,0.262,,64.1,102.8,0.358,0.321,0.53,50.8,48.9,9.4,9.4,0.496,17.8,34.9,0.248
Hampton,32,14,18,0.438,-6.75,-8.36,8,8,6,6,6,9,2102,2050,1280,725,1708,0.424,164,549,0.299,488,720,0.678,368,1106,385,278,127,496,591,68,96.6,0.422,0.321,0.513,48.9,53.1,12.8,10.6,0.472,19.5,33.5,0.286,,68,94.3,0.393,0.315,0.492,51.1,50.2,8.8,7,0.46,19.9,36.7,0.247
Hartford,30,8,22,0.267,-13.77,-6.04,6,10,5,8,3,13,1868,2100,1205,668,1678,0.398,233,678,0.344,299,468,0.639,297,932,340,181,80,350,659,64.9,95.6,0.279,0.404,0.492,45.1,50.9,9.3,8.5,0.468,15.6,27,0.178,,64.9,107.5,0.495,0.384,0.558,54.9,54.1,7.3,10.2,0.518,17.7,34.4,0.343
Harvard,29,21,8,0.724,1.59,-3.91,10,4,11,2,10,6,2145,1928,1180,723,1510,0.479,185,512,0.361,514,672,0.765,272,970,446,228,136,446,540,67.7,107.5,0.445,0.339,0.586,51.7,61.7,11.4,12.6,0.54,19.6,31.3,0.34,,67.7,96.6,0.406,0.31,0.516,48.3,54,9.4,10.8,0.472,18.8,30.6,0.288
Hawaii,30,10,20,0.333,-4.91,0.33,3,13,10,11,0,9,2044,2187,1200,707,1640,0.431,150,479,0.313,480,727,0.66,402,1075,415,133,61,429,543,67,101.7,0.443,0.292,0.515,52.5,58.7,6.6,5.3,0.477,17.8,38.8,0.293,,67,108.8,0.371,0.334,0.543,47.5,50.9,9.5,7.2,0.509,14.1,33.3,0.259
High Point,30,15,15,0.5,-14.63,-9.3,10,8,12,1,3,14,2169,2203,1205,771,1787,0.431,196,551,0.356,431,627,0.687,390,1063,385,205,127,471,648,71.4,100.9,0.351,0.308,0.52,49.4,49.9,9.5,10.5,0.486,18.4,34.8,0.241,,71.4,102.5,0.483,0.264,0.545,50.6,50.3,10.4,10.9,0.502,18.9,34.6,0.337
Hofstra,34,19,15,0.559,1.65,-0.02,10,8,11,6,6,7,2406,2320,1375,859,2102,0.409,184,565,0.326,482,664,0.726,503,1382,466,254,219,469,731,69.2,101.1,0.316,0.269,0.498,52.5,54.2,10.7,16.5,0.452,16.2,37.4,0.229,,69.2,97.5,0.494,0.293,0.5,47.5,55.7,10.2,11.6,0.439,16.6,31.6,0.341
Holy Cross,31,9,22,0.29,-8.03,-5.57,5,9,5,7,3,14,2147,2223,1250,761,1707,0.446,161,423,0.381,464,662,0.701,382,1136,409,134,89,447,551,66.8,102.9,0.388,0.248,0.531,53,53.7,6.4,7.4,0.493,18.1,36.8,0.272,,66.8,106.5,0.327,0.34,0.53,47,60.3,10.6,9.2,0.498,13.9,31.8,0.227
Houston,35,19,16,0.543,6.74,3.48,7,9,10,5,4,9,2751,2624,1410,958,2282,0.42,290,814,0.356,545,768,0.71,441,1185,435,329,103,315,652,71.4,109.3,0.337,0.357,0.52,44.5,45.4,13.1,7.2,0.483,10.6,30.4,0.239,,71.4,104.3,0.395,0.295,0.548,55.5,50.6,6.3,8.1,0.51,19.6,38.7,0.282
Howard,32,7,25,0.219,-19.49,-7.27,6,10,4,5,2,15,1868,2251,1290,639,1704,0.375,178,599,0.297,412,696,0.592,388,1092,308,140,69,473,537,65.6,88.3,0.408,0.352,0.459,48.1,48.2,6.6,5.3,0.427,18.9,32.1,0.242,,65.6,106.4,0.332,0.282,0.54,51.9,48.7,10.7,11,0.514,15.7,33.8,0.223
Idaho State,29,7,22,0.241,-10.29,0.13,4,12,6,6,1,16,1927,2176,1185,705,1555,0.453,135,389,0.347,382,551,0.693,332,926,324,166,80,382,516,63.3,102.8,0.354,0.25,0.53,49.9,46,8.9,8.2,0.497,17.4,35.9,0.246,,63.3,116.1,0.407,0.391,0.573,50.1,62,10.9,9.3,0.54,14.5,36.2,0.288
Idaho,31,15,16,0.484,-0.19,0.48,6,10,8,6,6,10,2206,2188,1245,791,1703,0.464,194,515,0.377,430,651,0.661,334,1074,459,185,95,432,554,67.9,104.5,0.382,0.302,0.548,50.9,58,8.8,7.9,0.521,17.7,32.4,0.252,,67.9,103.6,0.322,0.324,0.532,49.1,46.3,10.7,8.4,0.501,16.2,31.4,0.225
Illinois-Chicago,30,8,22,0.267,-7.58,0.94,3,15,7,7,1,15,1876,2110,1200,654,1691,0.387,175,578,0.303,393,549,0.716,316,982,315,211,74,383,569,67.4,92.8,0.325,0.342,0.481,45.5,48.2,10.4,7,0.438,16.4,28,0.232,,67.4,104.4,0.408,0.357,0.541,54.5,59.4,8.7,9,0.502,18.2,35.2,0.287
Illinois State,33,22,11,0.667,5.73,1.16,11,7,15,2,6,8,2283,2115,1325,794,1776,0.447,193,590,0.327,502,717,0.7,383,1173,433,240,114,429,556,65.2,105.8,0.404,0.332,0.539,53.1,54.5,11.1,10.4,0.501,16.9,34.4,0.283,,65.2,98,0.314,0.375,0.525,46.9,51.1,9,8.3,0.487,18.1,27.9,0.232
Illinois,36,21,15,0.583,11.58,9.58,10,8,13,5,7,4,2547,2406,1460,957,2127,0.45,219,645,0.34,414,581,0.713,396,1337,570,202,144,443,611,66.9,104.3,0.273,0.303,0.53,51.9,59.6,8.3,11.4,0.501,15.6,32.2,0.195,,66.9,98.5,0.318,0.397,0.499,48.1,55,9,4.1,0.464,15.2,30.2,0.221
Indiana State,32,17,15,0.531,1.11,2.4,9,9,11,3,5,10,2113,2123,1300,708,1681,0.421,221,630,0.351,476,619,0.769,290,1067,335,177,120,401,590,64.1,101.4,0.368,0.375,0.535,48.2,47.3,8.5,10.2,0.487,16.9,27.6,0.283,,64.1,101.9,0.368,0.339,0.506,51.8,51.4,9,7,0.472,14.9,33.1,0.245
Indiana,31,10,21,0.323,0.76,9.37,4,14,8,9,1,8,2053,2215,1250,703,1687,0.417,160,469,0.341,487,705,0.691,396,1090,375,211,107,486,636,67.6,97.1,0.418,0.278,0.508,49.7,53.3,10,9.2,0.464,19.4,35.6,0.289,,67.6,104.8,0.412,0.326,0.535,50.3,57.4,10.4,13.2,0.498,17.4,35.8,0.285
Iona,31,21,10,0.677,2.31,-1.85,12,6,11,3,8,4,2050,1921,1245,700,1667,0.42,227,619,0.367,423,621,0.681,322,1041,421,246,90,420,614,66.5,99,0.373,0.371,0.522,48.3,60.1,11.9,8.4,0.488,17.6,29.7,0.254,,66.5,92.8,0.473,0.317,0.498,51.7,51.4,10.8,13.8,0.451,20.7,32.9,0.317
Iowa State,32,15,17,0.469,9.6,8.37,4,12,11,7,3,7,2250,2174,1260,804,1811,0.444,200,540,0.37,442,673,0.657,378,1193,442,162,155,437,490,69.3,103,0.372,0.298,0.528,51.4,55,7.4,11.9,0.499,17,33.4,0.244,,69.3,99.5,0.266,0.319,0.504,48.6,48.1,10.6,7.5,0.472,15.4,31.4,0.191
Iowa,32,10,22,0.313,2.12,8.09,4,14,9,9,1,10,1937,2112,1285,675,1629,0.414,239,753,0.317,348,503,0.692,317,1023,394,134,64,440,507,62,97.3,0.309,0.462,0.518,50.1,58.4,6.7,5.7,0.488,19.1,30.4,0.214,,62,106.1,0.298,0.338,0.545,49.9,56.4,10.7,12.4,0.517,15.3,29.3,0.212
IPFW,31,16,15,0.516,-9.42,-4.73,9,9,10,4,5,10,2129,2112,1255,747,1790,0.417,221,583,0.379,414,595,0.696,335,1103,376,183,145,398,592,67.9,100,0.332,0.326,0.514,49.3,50.3,8.6,11.6,0.479,16.1,29.3,0.231,,67.9,99.2,0.383,0.278,0.515,50.7,46.9,8.8,11.6,0.467,16.2,29.7,0.283
IUPUI,36,25,11,0.694,1.63,-4.08,15,3,11,3,10,5,2681,2420,1465,953,1891,0.504,204,525,0.389,571,799,0.715,359,1199,538,317,167,513,573,66.3,110.5,0.423,0.278,0.59,51.5,56.5,13.1,12.8,0.558,18.4,33.5,0.302,,66.3,99.7,0.297,0.359,0.522,48.5,56.2,9.5,7.8,0.494,18.4,33,0.203
Jackson State,32,19,13,0.594,-13.21,-10.66,17,1,9,3,9,8,2028,2089,1290,682,1725,0.395,177,540,0.328,487,755,0.645,413,1214,359,190,119,469,659,66.7,94.3,0.438,0.313,0.487,51.7,52.6,8.8,10.4,0.447,18.4,35,0.282,,66.7,97.2,0.471,0.332,0.498,48.3,49.3,10.8,10.4,0.456,16.9,31.3,0.307
Jacksonville State,30,11,19,0.367,-8.18,-4.22,7,11,10,7,1,12,2088,2144,1205,727,1670,0.435,181,497,0.364,453,619,0.732,328,1026,455,202,142,415,560,68.1,101.8,0.371,0.298,0.532,49.1,62.6,9.8,12.1,0.49,17.4,31.8,0.271,,68.1,104.5,0.397,0.304,0.534,50.9,55.9,10.6,7.7,0.498,16.7,33.9,0.272
Jacksonville,33,20,13,0.606,-1.71,-2.3,14,6,8,3,10,10,2304,2228,1320,803,1915,0.419,176,529,0.333,522,739,0.706,480,1230,393,279,137,481,654,69,101.1,0.386,0.276,0.508,52.3,48.9,12.2,11.4,0.465,17.5,38.7,0.273,,69,97.8,0.458,0.31,0.527,47.7,51.9,9.5,7.9,0.484,20.3,32.6,0.315
James Madison,33,13,20,0.394,-4.96,-1.52,4,14,9,5,2,13,2210,2307,1320,796,1810,0.44,189,605,0.312,429,628,0.683,353,1149,462,204,140,477,532,67.8,98.7,0.347,0.334,0.524,49.1,58,9.1,10.1,0.492,18.5,31.7,0.237,,67.8,103.1,0.311,0.299,0.507,50.9,54.8,11.3,7,0.474,14.9,35.1,0.217
Kansas State,37,29,8,0.784,19.88,10.28,11,5,13,3,7,2,2949,2584,1500,981,2182,0.45,253,703,0.36,734,1098,0.668,559,1437,541,274,187,529,828,71.2,110.5,0.503,0.322,0.545,52.9,55.1,10.3,13.2,0.508,16.4,40.4,0.336,,71.2,96.8,0.469,0.302,0.519,47.1,51.6,9.6,8.4,0.47,20,33.9,0.328
